tx_date;sku;units_sold;stock;is_open;is_holiday;is_prom
20190102;1;28;;1;0;1
20190102;2;28;;1;0;1
20190102;3;44;;1;0;1
20190102;4;16;;1;0;1
20190102;5;40;;1;0;1
20190102;6;28;;1;0;1
20190102;7;12;;1;0;0
20190102;8;40;;1;0;0
20190102;9;16;;1;0;0
20190102;10;28;;1;0;1
20190102;11;24;;1;0;0
20190102;12;28;;1;0;0
20190102;13;12;;1;0;0
20190102;14;28;;1;0;0
20190102;15;24;;1;0;1
20190102;16;4;;1;0;0
20190102;17;20;;1;0;1
20190102;18;4;;1;0;0
20190102;19;24;;1;0;1
20190102;20;12;;1;0;0
20190102;21;16;;1;0;0
20190102;22;8;;1;0;0
20190102;23;8;;1;0;0
20190102;24;16;;1;0;1
20190102;25;8;;1;0;0
20190102;26;24;;1;0;1
20190102;27;36;;1;0;0
20190102;28;24;;1;0;0
20190102;29;24;;1;0;1
20190102;30;8;;1;0;0
20190102;31;20;;1;0;1
20190102;32;8;;1;0;0
20190102;33;24;;1;0;1
20190102;34;16;;1;0;1
20190102;35;20;;1;0;0
20190102;36;12;;1;0;0
20190102;37;24;;1;0;1
20190102;38;16;;1;0;1
20190102;40;24;;1;0;1
20190102;41;12;;1;0;0
20190102;42;8;;1;0;0
20190102;43;24;;1;0;0
20190102;44;16;;1;0;0
20190102;45;24;;1;0;1
20190102;46;32;;1;0;1
20190102;47;24;;1;0;1
20190102;48;4;;1;0;1
20190102;50;16;;1;0;0
20190103;1;8;;1;0;1
20190103;2;52;;1;0;1
20190103;3;28;;1;0;1
20190103;4;28;;1;0;1
20190103;5;20;;1;0;1
20190103;6;12;;1;0;1
20190103;7;4;;1;0;0
20190103;8;16;;1;0;0
20190103;9;4;;1;0;0
20190103;10;4;;1;0;1
20190103;11;20;;1;0;0
20190103;12;8;;1;0;0
20190103;13;12;;1;0;0
20190103;14;24;;1;0;0
20190103;15;56;;1;0;1
20190103;16;12;;1;0;0
20190103;17;28;;1;0;1
20190103;18;12;;1;0;0
20190103;19;8;;1;0;1
20190103;20;28;;1;0;0
20190103;21;12;;1;0;0
20190103;22;28;;1;0;0
20190103;23;12;;1;0;0
20190103;24;8;;1;0;1
20190103;25;24;;1;0;0
20190103;26;36;;1;0;1
20190103;27;16;;1;0;0
20190103;28;16;;1;0;0
20190103;29;0;;1;0;1
20190103;30;8;;1;0;1
20190103;31;4;;1;0;1
20190103;32;20;;1;0;0
20190103;33;12;;1;0;1
20190103;34;0;;1;0;1
20190103;35;0;;1;0;0
20190103;36;32;;1;0;0
20190103;37;8;;1;0;1
20190103;38;24;;1;0;1
20190103;39;8;;1;0;0
20190103;40;4;;1;0;1
20190103;41;12;;1;0;0
20190103;42;4;;1;0;0
20190103;43;4;;1;0;0
20190103;44;16;;1;0;0
20190103;45;12;;1;0;1
20190103;46;4;;1;0;1
20190103;47;8;;1;0;1
20190103;48;4;;1;0;1
20190103;50;20;;1;0;0
20190104;1;8;;1;0;1
20190104;2;56;;1;0;1
20190104;3;32;;1;0;1
20190104;4;32;;1;0;1
20190104;5;16;;1;0;1
20190104;6;24;;1;0;1
20190104;7;4;;1;0;0
20190104;8;20;;1;0;0
20190104;9;4;;1;0;0
20190104;10;16;;1;0;1
20190104;11;28;;1;0;0
20190104;12;12;;1;0;0
20190104;13;8;;1;0;0
20190104;14;16;;1;0;0
20190104;15;40;;1;0;1
20190104;16;8;;1;0;0
20190104;17;24;;1;0;1
20190104;18;8;;1;0;0
20190104;19;20;;1;0;1
20190104;20;4;;1;0;0
20190104;21;12;;1;0;0
20190104;22;20;;1;0;0
20190104;23;4;;1;0;0
20190104;24;12;;1;0;1
20190104;25;4;;1;0;0
20190104;26;32;;1;0;1
20190104;27;24;;1;0;0
20190104;28;32;;1;0;0
20190104;29;24;;1;0;1
20190104;30;8;;1;0;1
20190104;31;4;;1;0;1
20190104;32;28;;1;0;0
20190104;33;0;;1;0;1
20190104;34;28;;1;0;1
20190104;35;12;;1;0;0
20190104;36;4;;1;0;0
20190104;37;12;;1;0;1
20190104;38;16;;1;0;1
20190104;39;16;;1;0;0
20190104;40;12;;1;0;1
20190104;41;24;;1;0;0
20190104;42;8;;1;0;0
20190104;43;0;;1;0;0
20190104;44;0;;1;0;0
20190104;45;8;;1;0;1
20190104;46;4;;1;0;1
20190104;47;4;;1;0;1
20190104;48;16;;1;0;1
20190104;49;16;;1;0;1
20190104;50;16;;1;0;0
20190105;1;0;;1;0;1
20190105;2;16;;1;0;1
20190105;3;36;;1;0;1
20190105;4;20;;1;0;1
20190105;5;44;;1;0;1
20190105;6;16;;1;0;1
20190105;7;4;;1;0;0
20190105;8;16;;1;0;0
20190105;9;8;;1;0;0
20190105;10;12;;1;0;1
20190105;11;32;;1;0;0
20190105;12;12;;1;0;0
20190105;13;4;;1;0;0
20190105;14;4;;1;0;0
20190105;15;12;;1;0;1
20190105;16;4;;1;0;0
20190105;17;12;;1;0;1
20190105;18;12;;1;0;0
20190105;19;16;;1;0;1
20190105;20;0;;1;0;0
20190105;21;8;;1;0;0
20190105;22;8;;1;0;0
20190105;23;0;;1;0;0
20190105;24;32;;1;0;1
20190105;25;4;;1;0;0
20190105;26;24;;1;0;1
20190105;27;0;;1;0;0
20190105;28;20;;1;0;0
20190105;29;20;;1;0;1
20190105;30;16;;1;0;1
20190105;31;4;;1;0;1
20190105;32;16;;1;0;0
20190105;33;12;;1;0;1
20190105;34;4;;1;0;1
20190105;35;24;;1;0;0
20190105;36;12;;1;0;0
20190105;37;8;;1;0;1
20190105;38;8;;1;0;1
20190105;39;12;;1;0;0
20190105;40;8;;1;0;1
20190105;41;28;;1;0;0
20190105;42;8;;1;0;0
20190105;43;4;;1;0;0
20190105;44;24;;1;0;0
20190105;45;24;;1;0;1
20190105;46;20;;1;0;1
20190105;47;72;;1;0;1
20190105;48;20;;1;0;1
20190105;49;0;;1;0;1
20190105;50;8;;1;0;0
20190106;1;0;;0;1;1
20190106;2;0;;0;1;1
20190106;3;0;;0;1;1
20190106;4;0;;0;1;1
20190106;5;0;;0;1;1
20190106;6;0;;0;1;1
20190106;7;0;;0;1;0
20190106;8;0;;0;1;0
20190106;9;0;;0;1;0
20190106;10;0;;0;1;1
20190106;11;0;;0;1;0
20190106;12;0;;1;0;0
20190106;13;0;;0;1;0
20190106;14;0;;0;1;0
20190106;15;0;;0;1;1
20190106;16;0;;0;1;0
20190106;17;0;;0;1;1
20190106;18;0;;0;1;0
20190106;19;0;;0;1;1
20190106;20;0;;0;1;0
20190106;21;0;;0;1;0
20190106;22;0;;0;1;0
20190106;23;0;;0;1;0
20190106;24;0;;0;1;1
20190106;25;0;;1;0;0
20190106;26;0;;0;1;1
20190106;27;0;;0;1;0
20190106;28;0;;0;1;0
20190106;29;0;;0;1;1
20190106;30;0;;1;0;1
20190106;31;0;;0;1;1
20190106;32;0;;0;1;0
20190106;33;0;;0;1;1
20190106;34;0;;0;1;1
20190106;35;0;;0;1;0
20190106;36;0;;0;1;0
20190106;37;0;;0;1;1
20190106;38;0;;0;1;1
20190106;39;0;;0;1;0
20190106;40;0;;0;1;1
20190106;41;0;;0;1;0
20190106;42;0;;0;1;0
20190106;43;0;;0;1;0
20190106;44;0;;0;1;0
20190106;45;0;;0;1;1
20190106;46;0;;0;1;1
20190106;47;0;;0;1;1
20190106;48;0;;0;1;1
20190106;49;0;;0;1;1
20190106;50;0;;0;1;0
20190107;1;24;;1;0;1
20190107;2;4;;1;0;1
20190107;3;12;;1;1;1
20190107;4;4;;1;1;1
20190107;5;24;;1;0;1
20190107;6;0;;1;1;1
20190107;7;20;;1;0;0
20190107;8;8;;1;1;0
20190107;9;0;;1;1;0
20190107;10;12;;1;1;1
20190107;11;4;;1;1;0
20190107;12;16;;1;0;0
20190107;13;4;;1;1;0
20190107;14;0;;1;0;0
20190107;15;4;;1;1;1
20190107;16;4;;1;0;0
20190107;17;20;;1;0;1
20190107;18;20;;1;0;0
20190107;19;16;;1;1;1
20190107;20;0;;0;1;0
20190107;21;0;;0;1;0
20190107;22;4;;1;1;0
20190107;23;16;;1;1;0
20190107;24;4;;1;1;1
20190107;25;12;;1;0;0
20190107;26;0;;1;1;1
20190107;27;0;;0;1;0
20190107;28;20;;1;0;0
20190107;29;12;;1;0;1
20190107;30;28;;1;0;1
20190107;31;0;;1;1;1
20190107;32;4;;1;1;0
20190107;33;0;;1;1;1
20190107;34;12;;1;0;1
20190107;35;4;;1;1;0
20190107;36;0;;0;1;0
20190107;37;24;;1;1;1
20190107;38;4;;1;1;1
20190107;39;4;;1;1;0
20190107;40;8;;1;1;1
20190107;41;0;;1;1;0
20190107;42;0;;0;1;0
20190107;43;0;;1;0;0
20190107;44;8;;1;0;0
20190107;45;0;;1;1;1
20190107;46;4;;1;1;1
20190107;47;4;;1;1;1
20190107;48;8;;1;1;1
20190107;49;8;;1;1;1
20190107;50;0;;0;1;0
20190108;1;20;;1;0;1
20190108;2;32;;1;0;1
20190108;3;28;;1;0;1
20190108;4;24;;1;0;1
20190108;5;12;;1;0;1
20190108;6;32;;1;0;1
20190108;7;4;;1;0;0
20190108;8;20;;1;0;0
20190108;9;8;;1;0;0
20190108;10;16;;1;0;1
20190108;11;12;;1;0;0
20190108;12;16;;1;0;0
20190108;13;20;;1;0;0
20190108;14;12;;1;0;0
20190108;15;48;;1;0;1
20190108;16;4;;1;0;0
20190108;17;16;;1;0;1
20190108;18;12;;1;0;0
20190108;19;12;;1;0;1
20190108;20;8;;1;0;0
20190108;21;0;;1;0;0
20190108;22;28;;1;0;0
20190108;23;12;;1;0;0
20190108;24;36;;1;0;1
20190108;25;12;;1;0;0
20190108;26;32;;1;0;1
20190108;27;16;;1;0;0
20190108;28;12;;1;0;0
20190108;29;8;;1;0;1
20190108;30;16;;1;0;1
20190108;31;8;;1;0;1
20190108;32;4;;1;0;0
20190108;33;8;;1;0;1
20190108;34;12;;1;0;1
20190108;35;4;;1;0;0
20190108;36;4;;1;0;0
20190108;37;24;;1;0;1
20190108;38;24;;1;0;1
20190108;39;8;;1;0;0
20190108;40;20;;1;0;1
20190108;41;4;;1;0;0
20190108;42;32;;1;0;0
20190108;43;0;;1;0;0
20190108;44;8;;1;0;0
20190108;45;0;;1;0;1
20190108;46;20;;1;0;1
20190108;47;12;;1;0;1
20190108;48;12;;1;0;1
20190108;49;24;;1;0;1
20190108;50;4;;1;0;0
20190109;1;40;;1;0;1
20190109;2;44;;1;0;1
20190109;3;4;;1;0;1
20190109;4;28;;1;0;1
20190109;5;12;;1;0;1
20190109;6;32;;1;0;1
20190109;7;16;;1;0;0
20190109;8;20;;1;0;0
20190109;9;20;;1;0;0
20190109;10;20;;1;0;1
20190109;11;12;;1;0;0
20190109;12;4;;1;0;0
20190109;13;20;;1;0;0
20190109;14;16;;1;0;0
20190109;15;20;;1;0;1
20190109;16;20;;1;0;0
20190109;17;28;;1;0;1
20190109;18;16;;1;0;0
20190109;19;12;;1;0;1
20190109;20;8;;1;0;0
20190109;21;32;;1;0;0
20190109;22;52;;1;0;0
20190109;23;16;;1;0;0
20190109;24;20;;1;0;1
20190109;25;8;;1;0;0
20190109;26;20;;1;0;1
20190109;27;16;;1;0;0
20190109;28;20;;1;0;0
20190109;29;12;;1;0;1
20190109;30;24;;1;0;1
20190109;31;4;;1;0;1
20190109;32;8;;1;0;0
20190109;33;8;;1;0;1
20190109;34;8;;1;0;1
20190109;35;24;;1;0;0
20190109;36;16;;1;0;0
20190109;37;20;;1;0;1
20190109;38;20;;1;0;1
20190109;39;12;;1;0;0
20190109;40;12;;1;0;1
20190109;41;4;;1;0;0
20190109;42;20;;1;0;0
20190109;43;0;;1;0;0
20190109;44;16;;1;0;0
20190109;45;24;;1;0;1
20190109;46;16;;1;0;1
20190109;47;0;;1;0;1
20190109;48;8;;1;0;1
20190109;49;8;;1;0;1
20190109;50;12;;1;0;0
20190110;1;32;;1;0;1
20190110;2;0;;1;0;1
20190110;3;4;;1;0;1
20190110;4;28;;1;0;1
20190110;5;32;;1;0;1
20190110;6;40;;1;0;1
20190110;7;20;;1;0;0
20190110;8;24;;1;0;0
20190110;9;4;;1;0;0
20190110;10;12;;1;0;1
20190110;11;8;;1;0;0
20190110;12;0;;1;0;0
20190110;13;0;;1;0;0
