date;sku;units_sold;stock;is_open;is_holiday;is_prom;units_sold_last_year;units_sold_last_quarter;units_sold_last_month;units_sold_last_week;units_sold_last_52_weeks;units_sold_last_12_weeks;units_sold_last_8_weeks;units_sold_last_4_weeks;units_sold_last_day;units_sold_original
2019-01-02;1;28.0;0.0;1;0;1;;;;;;;;;;28
2019-01-02;2;28.0;0.0;1;0;1;;;;;;;;;;28
2019-01-02;3;44.0;0.0;1;0;1;;;;;;;;;;44
2019-01-02;4;16.0;0.0;1;0;1;;;;;;;;;;16
2019-01-02;5;40.0;0.0;1;0;1;;;;;;;;;;40
2019-01-02;6;28.0;0.0;1;0;1;;;;;;;;;;28
2019-01-02;7;12.0;0.0;1;0;0;;;;;;;;;;12
2019-01-02;8;40.0;0.0;1;0;0;;;;;;;;;;40
2019-01-02;9;16.0;0.0;1;0;0;;;;;;;;;;16
2019-01-02;10;28.0;0.0;1;0;1;;;;;;;;;;28
2019-01-02;11;24.0;0.0;1;0;0;;;;;;;;;;24
2019-01-02;12;28.0;0.0;1;0;0;;;;;;;;;;28
2019-01-02;13;12.0;0.0;1;0;0;;;;;;;;;;12
2019-01-02;14;28.0;0.0;1;0;0;;;;;;;;;;28
2019-01-02;15;24.0;0.0;1;0;1;;;;;;;;;;24
2019-01-02;16;4.0;0.0;1;0;0;;;;;;;;;;4
2019-01-02;17;20.0;0.0;1;0;1;;;;;;;;;;20
2019-01-02;18;4.0;0.0;1;0;0;;;;;;;;;;4
2019-01-02;19;24.0;0.0;1;0;1;;;;;;;;;;24
2019-01-02;20;12.0;0.0;1;0;0;;;;;;;;;;12
2019-01-02;21;16.0;0.0;1;0;0;;;;;;;;;;16
2019-01-02;22;8.0;0.0;1;0;0;;;;;;;;;;8
2019-01-02;23;8.0;0.0;1;0;0;;;;;;;;;;8
2019-01-02;24;16.0;0.0;1;0;1;;;;;;;;;;16
2019-01-02;25;8.0;0.0;1;0;0;;;;;;;;;;8
2019-01-02;26;24.0;0.0;1;0;1;;;;;;;;;;24
2019-01-02;27;36.0;0.0;1;0;0;;;;;;;;;;36
2019-01-02;28;24.0;0.0;1;0;0;;;;;;;;;;24
2019-01-02;29;24.0;0.0;1;0;1;;;;;;;;;;24
2019-01-02;30;8.0;0.0;1;0;0;;;;;;;;;;8
