sku;fecha;bolOpen;bolHoliday
12;20151212;1;0
12;20151213;1;0
12;20151214;1;0
12;20151216;1;0
12;20151215;1;0
12;20151217;1;0
12;20160206;1;0
12;20160207;1;0
12;20160208;1;0
12;20160209;1;0
12;20160210;1;0
12;20160211;1;0
12;20160212;1;0
12;20160214;1;0
12;20160213;1;0
12;20160215;1;0
12;20160216;1;0
12;20160217;1;0
12;20160218;1;0
12;20160219;1;0
12;20160220;1;0
12;20160221;1;0
12;20160222;1;0
12;20160223;1;0
12;20160224;1;0
12;20160225;1;0
12;20160226;1;0
12;20160227;1;0
12;20160228;1;0
12;20160229;1;0
12;20160304;1;0
12;20181229;1;0
12;20181230;1;0
12;20181231;1;0
12;20190101;1;0
12;20190102;1;0
12;20190103;1;0
12;20190104;1;0
12;20190105;1;0
12;20190106;1;0
12;20190107;1;0
12;20190108;1;0
12;20190109;1;0
12;20190110;1;0
12;20190111;1;0
12;20190112;1;0
12;20190113;1;0
12;20190114;1;0
12;20190115;1;0
12;20190116;1;0
12;20190117;1;0
12;20190118;1;0
12;20190119;1;0
12;20190120;1;0
12;20190121;1;0
12;20190122;1;0
12;20190525;1;0
12;20190526;1;0
12;20190527;1;0
12;20190528;1;0
12;20190529;1;0
12;20190530;1;0
12;20190531;1;0
12;20190601;1;0
12;20190602;1;0
12;20190603;1;0
12;20190604;1;0
12;20190605;1;0
12;20190606;1;0
12;20190607;1;0
12;20190608;1;0
12;20190609;1;0
12;20190610;1;0
12;20190611;1;0
12;20190612;1;0
12;20190613;1;0
12;20190614;1;0
12;20190615;1;0
12;20190616;1;0
12;20190617;1;0
12;20190618;1;0
12;20170604;1;0
12;20170605;1;0
12;20170606;1;0
12;20170607;1;0
12;20170608;1;0
12;20170609;1;0
12;20170610;1;0
12;20170611;1;0
12;20170612;1;0
12;20170613;1;0
12;20170614;1;0
12;20150309;1;0
12;20150322;1;0
12;20150323;1;0
12;20150324;1;0
12;20150325;1;0
12;20150326;1;0
12;20150327;1;0
12;20150328;1;0
12;20150329;1;0
12;20150330;1;0
12;20150331;1;0
12;20150401;1;0
12;20150402;1;0
12;20150320;1;0
12;20150403;1;0
12;20150404;1;0
12;20150405;1;0
12;20150410;1;0
12;20150411;1;0
12;20150412;1;0
12;20150413;1;0
12;20150414;1;0
12;20150415;1;0
12;20150416;1;0
12;20150417;1;0
12;20150627;1;0
12;20150628;1;0
12;20150629;1;0
12;20150630;1;0
12;20150701;1;0
12;20150702;1;0
12;20150703;1;0
12;20150706;1;0
12;20150707;1;0
12;20150708;1;0
12;20150704;1;0
12;20150705;1;0
12;20150709;1;0
12;20150710;1;0
12;20150711;1;0
12;20150713;1;0
12;20150714;1;0
12;20150715;1;0
12;20150716;1;0
12;20150717;1;0
12;20150718;1;0
12;20150719;1;0
12;20150720;1;0
12;20150721;1;0
12;20150722;1;0
12;20151005;1;0
12;20151006;1;0
12;20151008;1;0
12;20151007;1;0
12;20151009;1;0
12;20151010;1;0
